"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"USC00041312","CALISTOGA, CA US","1981-02-02","0.00",,"66","35"
"USC00041312","CALISTOGA, CA US","1981-02-03","0.00",,"66","30"
"USC00041312","CALISTOGA, CA US","1981-02-04","0.00",,"63","32"
"USC00041312","CALISTOGA, CA US","1981-02-05","0.00",,,
"USC00041312","CALISTOGA, CA US","1981-02-06","0.00",,"55","31"
"USC00041312","CALISTOGA, CA US","1981-02-07","0.00",,"53","36"
"USC00041312","CALISTOGA, CA US","1981-02-08","0.00",,"62","36"
"USC00041312","CALISTOGA, CA US","1981-02-09","0.04",,"65","39"
"USC00041312","CALISTOGA, CA US","1981-02-10","0.00",,"64","39"
"USC00041312","CALISTOGA, CA US","1981-02-11","0.12",,"62","45"
"USC00041312","CALISTOGA, CA US","1981-02-12","0.00",,"65","43"
"USC00041312","CALISTOGA, CA US","1981-02-13","1.30",,"65","49"
"USC00041312","CALISTOGA, CA US","1981-02-14","0.62",,"68","48"
"USC00041312","CALISTOGA, CA US","1981-02-15","0.00",,"67","42"
"USC00041312","CALISTOGA, CA US","1981-02-16","0.02",,"67","42"
"USC00041312","CALISTOGA, CA US","1981-02-17","0.00",,,
"USC00041312","CALISTOGA, CA US","1981-02-18","0.00",,"78","44"
"USC00041312","CALISTOGA, CA US","1981-02-19","0.00",,"72","47"
"USC00041312","CALISTOGA, CA US","1981-02-20","0.00",,"60","44"
